date, temp_min, temp_max
19120330, 21.7, 31.8
19120331, 22.3, 32.5
19120401, 22.9, 31.4
19120402, 20.6, 31.4
19120403, 21.7, 31.4
19120404, 22.8, 31.4
19120405, 22.3, 30.3
19120406, 22.2, 25.3
19120407, 21.7, 30.9
19120408, 22.8, 32.0
19120409, 21.4, 30.9
19120410, 20.4, 31.8
19120411, 22.2, 28.8
19120412, 21.7, 29.6
19120413, 20.9, 29.2
19120414, 20.7, 29.3
19120415, 19.7, 27.2
19120416, 19.0, 26.4
19120417, 19.7, 26.9
19120418, 19.9, 29.7
19120419, 22.9, 30.3
19120420, 19.9, 29.8
19120421, 19.0, 30.3
19120422, 16.8, 29.8
19120423, 15.5, 27.5
19120424, 16.1, 26.6
19120425, 19.1, 24.8
19120426, 20.6, 27.3
19120427, 22.0, 26.6
19120428, 20.4, 25.4
19120429, 19.0, 25.5
19120430, 19.4, 26.1
19120501, 20.5, 25.8
19120502, 19.8, 26.3
19120503, 20.5, 27.4
19120504, 19.8, 26.3
19120505, 17.4, 25.8
19120506, 15.4, 26.6
19120507, 15.7, 26.8
19120508, 13.6, 26.3
19120509, 13.8, 24.6
19120510, 18.1, 25.6
19120511, 18.6, 24.2
19120512, 14.9, 25.2
19120513, 19.0, 24.9
19120514, 20.5, 24.7
19120515, 19.9, 25.8
19120516, 20.6, 24.8
19120517, 19.8, 25.2
19120518, 19.3, 24.1
19120519, 17.8, 24.7
19120520, 17.8, 24.1
19120521, 20.8, 24.1
19120522, 19.8, 25.8
19120523, 18.3, 25.4
19120524, 13.7, 25.8
19120525, 13.6, 24.1
19120526, 10.6, 23.7
19120527, 10.6, 24.4
19120528, 13.8, 25.3
19120529, 20.1, 26.5
19120530, 18.9, 24.7
19120531, 18.2, 24.7
19120601, 16.0, 26.0
19120602, 14.0, 24.0
19120603, 13.1, 24.9
19120604, 16.7, 24.8
19120605, 19.4, 25.4
19120606, 18.7, 25.4
19120607, 19.8, 23.6
19120608, 19.8, 26.6
19120609, 21.1, 26.0
19120610, 20.6, 27.1
19120611, 20.5, 25.4
19120612, 20.4, 25.5
19120613, 99999.9, 27.6
19120614, 20.4, 27.4
19120615, 19.8, 27.1
19120616, 19.4, 24.3
19120617, 20.0, 23.7
19120618, 19.4, 24.2
19120619, 18.7, 24.8
19120620, 19.8, 24.3
19120621, 18.7, 23.9
19120622, 19.4, 21.5
19120623, 19.1, 25.7
19120624, 19.4, 26.5
19120625, 19.8, 25.9
19120626, 20.2, 25.1
19120627, 20.2, 27.1
19120628, 20.7, 27.1
19120629, 20.2, 26.0
19120630, 20.2, 26.0
19120701, 21.3, 25.2
19120702, 19.3, 26.3
19120703, 19.6, 26.8
19120704, 18.7, 26.7
19120705, 18.3, 25.9
19120706, 16.2, 25.2
19120707, 16.1, 26.2
19120708, 16.3, 26.4
19120709, 12.6, 26.2
19120710, 14.3, 25.8
19120711, 17.9, 25.7
19120712, 17.7, 25.7
19120713, 19.3, 24.3
19120714, 19.4, 27.3
19120715, 12.6, 21.9
19120716, 10.9, 23.6
19120717, 10.6, 24.3
19120718, 12.6, 25.9
19120719, 15.5, 25.1
19120720, 14.1, 21.7
19120721, 7.8, 22.1
19120722, 7.9, 23.2
19120723, 9.8, 25.1
19120724, 10.4, 25.2
19120725, 13.2, 26.1
19120726, 12.9, 26.3
19120727, 13.1, 26.1
19120728, 13.9, 27.0
19120729, 16.1, 24.3
19120730, 12.1, 23.4
19120731, 11.2, 23.7
19120801, 12.4, 99999.9
19120802, 12.4, 26.0
19120803, 14.4, 27.4
19120804, 14.6, 25.2
19120805, 12.1, 24.1
19120806, 8.8, 23.0
19120807, 8.6, 23.5
19120808, 8.6, 22.7
19120809, 14.9, 23.0
19120810, 14.6, 25.5
19120811, 15.9, 25.4
19120812, 16.1, 25.7
19120813, 14.5, 27.7
19120814, 14.2, 26.9
19120815, 11.5, 99999.9
19120816, 9.3, 25.2
19120817, 17.5, 24.9
19120818, 15.4, 24.7
19120819, 15.3, 23.8
19120820, 17.5, 23.8
19120821, 17.0, 23.9
19120822, 17.1, 23.4
19120823, 16.7, 24.1
19120824, 17.5, 25.2
19120825, 17.9, 24.6
19120826, 17.5, 25.2
19120827, 17.3, 26.6
19120828, 17.5, 26.9
19120829, 15.4, 27.7
19120830, 15.9, 27.4
19120831, 17.5, 99999.9
19120901, 17.7, 26.9
19120902, 16.4, 26.9
19120903, 17.0, 27.8
19120904, 13.5, 27.4
19120905, 13.4, 28.9
19120906, 13.3, 27.8
19120907, 14.9, 27.3
19120908, 14.5, 28.5
19120909, 20.5, 28.3
19120910, 20.5, 27.2
19120911, 19.8, 26.4
19120912, 14.7, 26.9
19120913, 13.8, 27.4
19120914, 12.7, 27.7
19120915, 15.7, 28.1
19120916, 18.5, 29.7
19120917, 17.1, 29.2
19120918, 17.2, 29.4
19120919, 18.1, 29.3
19120920, 18.1, 29.7
19120921, 20.0, 28.0
19120922, 19.8, 26.3
